record_type,ring_no,scheme,scheme2,ring_no2,species_name,age,pulli_ringed,pulli_alive,sex,sexing_method,provisional_sex,breeding_condition,visit_date,capture_time,location_name,gridRef,habitat_1,habitat_2,status_code_1,status_code_2,lure_code_1,lure_code_2,wing_length,weight,date_measured,time_w,condition,moult_code,alula,old_greater_coverts,primary_moult,primary_covert_moult_scores,secondary_moult_scores,finding_condition,finding_circumstances,capture_method,metal_mark_info,ringer_initials,ringer_check_initials,processor_initials,extractor_initials,wing_initials,colour_mark_info,metal_mark_position,fatCombined,pectoral_muscle,body_moult,greater_covert_moult_scores,alula_moult_scores,carpal_covert_moult,wing_point,primary_length,bill_length_method,bill_length,head_bill_length,bill_depth_method,bill_depth,tarsus_length_method,tail_moult_scores,tarsus_length,tail_length,claw_length,plumage,tail_diff,lesser_median_covert_moult,underwing_covert_moult,head_moult,upperparts_moult,underparts_moult,permit_no,pullus_stage,extra_text,date_accuracy,left_leg_below,right_leg_below,left_leg_above,right_leg_above,neck_collar,left_wing_tag,right_wing_tag,nasal_saddle,sample_processed,high_tide_time,finder_name,own,own2,userc1,userc2,email,userc3,userc4,userc5,userv1,userv2,userv3,userv4,userv5,l_primary_moult_scores,l_secondary_moult_scores,l_tail_moult_scores,l_primary_covert_moult_scores,l_greater_covert_moult_scores,l_carpal_covert_moult,l_alula_moult_scores,toe_span
N,AZJ0226,GBT,---,,Goldfinch,5,,,F,P,U,0,23/04/2020,13:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,77,15.3,23/04/2020,13:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,AZJ0225,GBT,---,,Goldfinch,5,,,M,P,U,C,23/04/2020,13:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,79,14.3,23/04/2020,13:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,LK63856,GBT,---,,Blackbird,6,,,F,P,U,3,23/04/2020,10:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,126,100,23/04/2020,10:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,NF28100,GBT,---,,House Sparrow,4,,,F,P,U,2,23/04/2020,10:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,77,25.4,23/04/2020,10:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,LK63858,GBT,---,,Blackbird,5,,,M,P,U,C,23/04/2020,09:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,125,83.8,23/04/2020,09:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
N,KKK509,GBT,---,,Wren,5,,,U,U,U,0,23/04/2020,09:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,48,9.4,23/04/2020,09:00,N,O,,,,,,0,--,M,N,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,AZJ0221,GBT,---,,Blackcap,5,,,M,P,U,C,23/04/2020,08:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,74,15.8,23/04/2020,08:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,AZJ0201,GBT,---,,Robin,5,,,M,C,U,C,23/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,74,19.4,23/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,AHB1050,GBT,---,,Great Tit,6,,,F,P,U,2,23/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,75,19.6,23/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
S,Z814507,GBT,---,,Great Tit,6,,,M,P,U,C,23/04/2020,06:00,"CHELM (Galleywood, Chelmsford)",TL7003,F2,--,U,U,U,U,78,19.3,23/04/2020,06:00,N,O,,,,,,8,20,M,-,-,-,DJW,-,,-,U,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,,,,,-,,,,,,,,,,,,,,,,
